GISAID accession,GISAID name,Sample Date,Sample Name,Sample File 1,Sample File 2
EPI_ISL_13052337,hCoV-19/env/Hubei/IVDC-0126/2020,2020-01-01,B5,V300046953_L02_32_1.fq.gz,V300046953_L02_32_2.fq.gz
EPI_ISL_13052337,hCoV-19/env/Hubei/IVDC-0126/2020,2020-01-01,B5,V300046953_L03_32_1.fq.gz,V300046953_L03_32_2.fq.gz
EPI_ISL_13052337,hCoV-19/env/Hubei/IVDC-0126/2020,2020-01-01,B5,V300046953_L04_32_1.fq.gz,V300046953_L04_32_2.fq.gz
EPI_ISL_13052336,hCoV-19/env/Hubei/IVDC-0138/2020,2020-01-01,B17,V300052234_L01_2_1.fq.gz,V300052234_L01_2_2.fq.gz
EPI_ISL_13052336,hCoV-19/env/Hubei/IVDC-0138/2020,2020-01-01,B17,V300052234_L02_2_1.fq.gz,V300052234_L02_2_2.fq.gz
EPI_ISL_13052336,hCoV-19/env/Hubei/IVDC-0138/2020,2020-01-01,B17,V300052234_L03_2_1.fq.gz,V300052234_L03_2_2.fq.gz
EPI_ISL_13052336,hCoV-19/env/Hubei/IVDC-0138/2020,2020-01-01,B17,V300052234_L04_2_1.fq.gz,V300052234_L04_2_2.fq.gz
EPI_ISL_13052338,hCoV-19/env/Hubei/IVDC-0213/2020,2020-01-01,D32,V300052234_L01_1_1.fq.gz,V300052234_L01_1_2.fq.gz
EPI_ISL_13052338,hCoV-19/env/Hubei/IVDC-0213/2020,2020-01-01,D32,V300052234_L02_1_1.fq.gz,V300052234_L02_1_2.fq.gz
EPI_ISL_13052338,hCoV-19/env/Hubei/IVDC-0213/2020,2020-01-01,D32,V300052234_L03_1_1.fq.gz,V300052234_L03_1_2.fq.gz
EPI_ISL_13052338,hCoV-19/env/Hubei/IVDC-0213/2020,2020-01-01,D32,V300052234_L04_1_1.fq.gz,V300052234_L04_1_2.fq.gz
EPI_ISL_13052341,hCoV-19/env/Hubei/IVDC-0221/2020,2020-01-01,E7,V300052234_L01_10_1.fg.gz,V300052234_L01_10_2.fg.gz
EPI_ISL_13052341,hCoV-19/env/Hubei/IVDC-0221/2020,2020-01-01,E7,V300052234_L02_10_1.fg.gz,V300052234_L02_10_2.fg.gz
EPI_ISL_13052341,hCoV-19/env/Hubei/IVDC-0221/2020,2020-01-01,E7,V300052234_L03_10_1.fg.gz,V300052234_L03_10_2.fg.gz
EPI_ISL_13052341,hCoV-19/env/Hubei/IVDC-0221/2020,2020-01-01,E7,V300052234_L04_10_1.fg.gz,V300052234_L04_10_2.fg.gz
EPI_ISL_13052339,hCoV-19/env/Hubei/IVDC-0262/2020,2020-01-01,E48,V300046953_L01_1_1.fg.gz,V300046953_L01_1_2.fg.gz
EPI_ISL_13052339,hCoV-19/env/Hubei/IVDC-0262/2020,2020-01-01,E48,V300046953_L02_1_1.fg.gz,V300046953_L02_1_2.fg.gz
