File Name,GISAID Accession ID,File Size (bytes),Number of Reads,Download Time (Pacific),SHA512
V300052234_L04_10_2.fq.gz,EPI_ISL_13052341,2525304459,30475079,Mar 10 15:47,AD3A5BFD68CA191810E963445121F5104E3E9F1710E147A3B2A179EF812228555BDC337C49CD3B7AFB4978BBBFCF61E5235EC83664E3E58AFB268F1A7CE215BC
V300052234_L04_12_1.fq.gz,EPI_ISL_13052328,1887735909,22305541,Mar 10 13:53,D8E75B67C7B6EDCB7B2EDCBB0547BD90B7AF10FFB88D0D775BF7CA919E7316F5EBF1301EA8707CBDFCA20F7EF6A0B1637791CABC47C484A550DAD96C234D7D0D
V300052234_L04_12_2.fq.gz,EPI_ISL_13052328,1857675178,22305541,Mar 10 13:53,E4EE2B5E2FAC4872D1E616E990883CAFD459B6394362F4AC3EB30D4AD828E8176F022DD2DEC38E7DDAB929322A2DB4C3D9D0F3848B1A59F65A770B14E93AC0AB
V300052234_L04_1_1.fq.gz,EPI_ISL_13052338,2118282073,25724064,Mar 10 15:17,D214CF3BA0D74CD472F8D84ADB1D2D7927CC9D81B41B72AC85BCADB3E943C96AFB5FC1E4FECEC4BE1E68D192DB3876041B126F0A6383E0592FC97DDEF1AF176A
V300052234_L04_1_2.fq.gz,EPI_ISL_13052338,2116215631,25724064,Mar 10 15:12,CB119CF3476BC29BD46829356CAC2909C2425493FBFD1A2546EB9B8ED2D06ED1D8FC970910300A7424462D9AEFEF072E9A593B8DABA1DE2460DD5B6EF20FCDCE
V300052234_L04_22_1.fq.gz,EPI_ISL_13052343,2087718051,27843943,Mar 10 15:57,49B6C90703A237EB9C0BA1C6A8CD0E7E4681ABD7A2B9FB39A876460FCDCE7AF1AC0014EBEA0231E9C1802E04BF865A8EE6EA52B0FCCC3EE73B6C01796C31B8C5
V300052234_L04_22_2.fq.gz,EPI_ISL_13052343,1897684542,27843943,Mar 10 15:58,4C686222777AA0636FAA5F0B267B59DED5AEC654EB7A487B9C9C37B4E884435B7E69835F390E96DD4BE85DCC130403E437F399DA0D94F6E9CA353FACF71A694D
V300052234_L04_25_1.fq.gz,EPI_ISL_13052346,4055029382,48874349,Mar 10 16:22,EC7238B234A301F1799E3B5222CD7ABCEC438D02F845A3F8D2F0AC623CFBA2742D03D52AC15236C7F3FE34E71D1B84426EFBE15B0A951FDC308CA0CEA236DCD2
V300052234_L04_25_2.fq.gz,EPI_ISL_13052346,3935240809,48874349,Mar 10 16:18,FC13E27C9FFD391D813479400EC3054C8A75EF32D9A449E7DABB8CB0ACFFB109CD30E5001A2E82A7850BCD5161AC85107C8A38993FF23499F424B782731D67B1
V300052234_L04_2_1.fq.gz,EPI_ISL_13052336,2231781538,26676632,Mar 10 14:58,265451459408ACBD31D44B8EAA4B138D3E94AFF41716D196D718EFB9A1B44726B10B17704474F3D8844829B73D79DB0F7B709184F2C85C428559B0A742A1A9F0
V300052234_L04_2_2.fq.gz,EPI_ISL_13052336,2199103839,26676632,Mar 10 15:01,9C9770B55E3C253BB642E8F11D6AAD279C48793BA7AE989DC03026AB382C072751E20AE70E4D09B669CFBEB2795F528C622E5CE616684E7C41F97F01ED05E62C
V300052234_L04_3_1.fq.gz,EPI_ISL_13052345,1819149121,22084367,Mar 10 16:11,05E5A12559E4CE7E92B0FD3FD9283AF400B6D0A89A685F8AC6ABC9FD320E231EED44E1B35CE3D9D55490F6CA8772B1A7B9914AB0E62D2B6C6213F583200C3E8D
V300052234_L04_3_2.fq.gz,EPI_ISL_13052345,1773819646,22084367,Mar 10 16:13,63F25D27F370C64E242A89D0191C9C0A972AE62BC08B2CDB55B87D0FEBF7343EDAB5448B538B942FDB171FA3102768FD2FD12B643E838527B40AA2BDF608BEE5
V300052234_L04_4_1.fq.gz,EPI_ISL_13052330,4668854043,55024889,Mar 10 14:07,7BA03AA573E2C97A4C9FB175B56FE3A156CB6FB353044FD70D54A40664681C625A156D9A3B8A767D4D723865CFF4A00AD968D78838F3E74832082B15B4F0626A
V300052234_L04_4_2.fq.gz,EPI_ISL_13052330,4516401038,55024889,Mar 10 14:05,E594CD5425CB88CF13546AC4A36DF2B9966DE99E9E809FFA54C8891123D9ADA84669401919A241CBEC6CB0E2CA760B0886BDDE46A5D5D409705E1D644CEFD918
V300052234_L04_5_1.fq.gz,EPI_ISL_13052327,1570268290,18797756,Mar 10 13:49,BD681204079AA3D9CB06794F0A4335E5B09D9C0AB7363D42A663F2BD4625971B610AE6B870397A519B65500B84C5DC480921F69FA1C234EBE2563B5896AFA5C6
V300052234_L04_5_2.fq.gz,EPI_ISL_13052327,1542689840,18797756,Mar 10 13:49,FD89E8017259D2438BB5065E1D09177F2830E299FFD3EB2618F82877D8044BD2E3DA54B0AF3F5C36B612A1C836ACF74FDBAA632137A71DDC268D17A23980A63F
V300052234_L04_6_1.fq.gz,EPI_ISL_13052325,3341156127,39102011,Mar 10 13:31,C9C393022058628987D35540AD20689B14652A8B0FA88AF2D818867162E3960DDED4C892AB01D2C092B73C2722EF1D304EA1368EEEC94D8264016DFE9519AFB6
V300052234_L04_6_2.fq.gz,EPI_ISL_13052325,3224082131,39102011,Mar 10 13:29,0C3030A5D5E3006123334B20BDB3CA5DCBD136E567C799DB58318EEB6711D058AB218E82BF8EB79B85261D7C956D66B50A4180AA7B938EB6A3512ED166D708B5
V300052234_L04_7_1.fq.gz,EPI_ISL_13052326,2369934617,28218688,Mar 10 13:43,CAAD789B461EF00774FE8E47B1CCD9E352B569934CF4FCBB4D6CA625567E763A56A75B3CD597AA1AE2C70720712F77497965E30E0985ECD588FA8CE36FC88A47
V300052234_L04_7_2.fq.gz,EPI_ISL_13052326,2281368826,28218688,Mar 10 13:42,1BC7DF131C17FB6C8C808D50C63139BC98CE5353EC23E79DAB73A921F51AE41D871AEFCCCC35829971C91674D0C654C178EDC5D35E507E82B3BE99F818012556
V300052234_L04_8_1.fq.gz,EPI_ISL_13052331,2442871938,29093314,Mar 10 14:19,BC544AF1A4F58BCAB31339B191C499A8365492EFA39A56DB9086EFE75F61D05BD02557697502A9436A89D8A9B8CD5D623EEA323A9095EB6296D89AFD8CD99BAD
V300052234_L04_8_2.fq.gz,EPI_ISL_13052331,2380196474,29093314,Mar 10 14:20,5DA65E6E93E52FD1866C15DF709B2F4C781D17AEA967A4AE219F3F6F9233668E8870380450B728BF4B1A9A7159E14EDA705D4177FE1220410C52FBAF0EA230D8
