Filename,Location,Sample_name,Erinaceus amurensis,Sus scrofa,Rattus norvegicus,Oryctolagus cuniculus,Canis lupus,Erinaceus europaeus,Hemiechinus auritus,Bos taurus,Homo sapiens,Nyctereutes procyonoides,Marmota himalayana,Mustela sibirica,Arctonyx collaris,Rhizomys pruinosus,Vulpes zerda,Ovis orientalis,Urocyon cinereoargenteus,Capra aegagrus,Felis margarita,Paguma larvata,Rattus tiomanicus,Otocyon megalotis,Muntiacus putaoensis,Hystrix brachyura
V300052234_L03_7_1,West market,A2,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,35,0,0,75,0,0,0,0,0
V300052234_L03_7_2,West market,A2,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,40,0,0,82,0,0,0,0,0
V300052234_L03_8_1,West market,A63,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0
V300052234_L03_8_2,West market,A63,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0
V300052234_L04_10_1,West market,E7,0,57,0,0,5,0,0,14,379,0,0,14,0,0,0,39,0,0,6,0,0,0,0,0
V300052234_L04_10_2,West market,E7,0,59,0,0,5,0,0,14,378,0,0,15,0,0,0,38,0,0,5,0,0,0,0,0
V300052234_L04_12_1,West market,A33,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300052234_L04_12_2,West market,A33,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
V300052234_L04_1_1,West market,D32,0,105,0,0,0,0,0,240,622,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0
V300052234_L04_1_2,West market,D32,0,104,0,0,0,0,0,243,619,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0
V300052234_L04_22_1,West market,F13,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300052234_L04_22_2,West market,F13,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300052234_L04_25_1,West market,F98,0,10,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300052234_L04_25_2,West market,F98,0,9,0,0,0,0,0,0,159,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
V300052234_L04_2_1,West market,B17,0,17,0,0,0,0,0,32,185,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0
V300052234_L04_2_2,West market,B17,0,20,0,0,0,0,0,34,179,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0
